名称,key1,value1,key2,value2,key3,value3,key4,value4
Buff-角色-艾莲-核心被动,固定暴击伤害,1,,,,,,
Buff-角色-艾莲-额外能力,冰属性伤害,0.03,,,,,,
Buff-武器-精1深海访客-冰伤,冰属性伤害,0.25,,,,,,
Buff-武器-精1深海访客-暴击率-1,固定暴击率,0.1,,,,,,
Buff-武器-精1深海访客-暴击率-2,固定暴击率,0.1,,,,,,
Buff-武器-精2深海访客-冰伤,冰属性伤害,0.315,,,,,,
Buff-武器-精2深海访客-暴击率-1,固定暴击率,0.125,,,,,,
Buff-武器-精2深海访客-暴击率-2,固定暴击率,0.125,,,,,,
Buff-武器-精3深海访客-冰伤,冰属性伤害,0.38,,,,,,
Buff-武器-精3深海访客-暴击率-1,固定暴击率,0.15,,,,,,
Buff-武器-精3深海访客-暴击率-2,固定暴击率,0.15,,,,,,
Buff-武器-精4深海访客-冰伤,冰属性伤害,0.445,,,,,,
Buff-武器-精4深海访客-暴击率-1,固定暴击率,0.175,,,,,,
Buff-武器-精4深海访客-暴击率-2,固定暴击率,0.175,,,,,,
Buff-武器-精5深海访客-冰伤,冰属性伤害,0.5,,,,,,
Buff-武器-精5深海访客-暴击率-1,固定暴击率,0.2,,,,,,
Buff-武器-精5深海访客-暴击率-2,固定暴击率,0.2,,,,,,
Buff-驱动盘-极地重金属-冲刺攻击增伤,冲刺攻击增伤,0.2,,,,,,
Buff-驱动盘-极地重金属-普攻增伤,普攻增伤,0.2,,,,,,
Buff-驱动盘-极地重金属-冲刺与普攻增伤-有条件,普攻增伤,0.2,冲刺攻击增伤,0.2,,,,
Buff-驱动盘-震星迪斯科,普攻失衡值增加,0.2,冲刺攻击失衡值增加,0.2,闪避反击失衡值增加,0.2,,
Buff-驱动盘-啄木鸟电音-普攻,局内攻击力%,0.09,,,,,,
Buff-驱动盘-啄木鸟电音-闪避反击,局内攻击力%,0.09,,,,,,
Buff-驱动盘-啄木鸟电音-强化特殊技,局内攻击力%,0.09,,,,,,
Buff-角色-莱特-核心被动-冲击力提升,局内冲击力%,0.002,,,,,,
Buff-角色-莱特-核心被动-冰火双抗,火伤害抗性降低,0.15,冰伤害抗性降低,0.15,,,,
Buff-角色-莱特-核心被动-失衡时间延长,失衡延长,180,,,,,,
Buff-角色-莱特-额外能力-冰火增伤,冰属性伤害,0.0025,火属性伤害,0.0025,,,,
Buff-角色-莱卡恩-核心被动-失衡值提升,普攻失衡值增加,0.8,火属性伤害,0.025,,,,
Buff-角色-莱卡恩-核心被动-减冰抗,冰伤害抗性降低,0.25,,,,,,
Buff-角色-莱卡恩-额外能力-失衡易伤倍率,失衡易伤增加,0.35,,,,,,
Buff-异常-霜寒,受暴击伤害增加,0.1,,,,,,
Buff-异常-畏缩,受失衡增加,0.075,,,,,,
Buff-角色-苍角-核心被动-1,固定攻击力,500,,,,,,
Buff-角色-苍角-核心被动-2,固定攻击力,500,,,,,,
Buff-武器-精1含羞恶面-冰伤,冰属性伤害,0.15,,,,,,
Buff-武器-精2含羞恶面-冰伤,冰属性伤害,0.175,,,,,,
Buff-武器-精3含羞恶面-冰伤,冰属性伤害,0.2,,,,,,
Buff-武器-精4含羞恶面-冰伤,冰属性伤害,0.225,,,,,,
Buff-武器-精5含羞恶面-冰伤,冰属性伤害,0.25,,,,,,
Buff-武器-精1含羞恶面-叠层攻击力,局内攻击力%,0.02,,,,,,
Buff-武器-精2含羞恶面-叠层攻击力,局内攻击力%,0.023,,,,,,
Buff-武器-精3含羞恶面-叠层攻击力,局内攻击力%,0.026,,,,,,
Buff-武器-精4含羞恶面-叠层攻击力,局内攻击力%,0.029,,,,,,
Buff-武器-精5含羞恶面-叠层攻击力,局内攻击力%,0.032,,,,,,
Buff-武器-精1燃狱齿轮-后台能量自动回复,能量自动恢复,0.6,,,,,,
Buff-武器-精2燃狱齿轮-后台能量自动回复,能量自动恢复,0.75,,,,,,
Buff-武器-精3燃狱齿轮-后台能量自动回复,能量自动恢复,0.9,,,,,,
Buff-武器-精4燃狱齿轮-后台能量自动回复,能量自动恢复,1.05,,,,,,
Buff-武器-精5燃狱齿轮-后台能量自动回复,能量自动恢复,1.2,,,,,,
Buff-武器-精1燃狱齿轮-叠层冲击力,局内冲击力%,0.1,,,,,,
Buff-武器-精2燃狱齿轮-叠层冲击力,局内冲击力%,0.125,,,,,,
