BuffName,id,OfficialName,From,SpConsumption,SpRecovery_hit,Sp_Threshold,FeverRecovery,ElementAbnormalAccumlation,SkillType,TriggerBuffLevel,ElementType,TimeCost,HitNumber,DmgRelated_Attributes,StunRelated_Attributes,Interruption_Resistance
Buff-角色-艾莲-核心被动,,,,,,,,,,,2,,,,,
Buff-角色-艾莲-额外能力,,,,,,,,,,0,2,,,,,
Buff-武器-精1深海访客-冰伤,,,,,,,,,,,2,,,,,
Buff-武器-精1深海访客-暴击率-1,,,,,,,,,,0,,,,,,
Buff-武器-精1深海访客-暴击率-2,1191_RA_FC|1191_RA_NFC|1191_RA_A|1191_RA_1,,,,,,,,,,2,,,,,
Buff-武器-精2深海访客-冰伤,,,,,,,,,,,2,,,,,
Buff-武器-精2深海访客-暴击率-1,,,,,,,,,,0,,,,,,
Buff-武器-精2深海访客-暴击率-2,1191_RA_FC|1191_RA_NFC|1191_RA_A|1191_RA_1,,,,,,,,,,2,,,,,
Buff-武器-精3深海访客-冰伤,,,,,,,,,,,2,,,,,
Buff-武器-精3深海访客-暴击率-1,,,,,,,,,,0,,,,,,
Buff-武器-精3深海访客-暴击率-2,1191_RA_FC|1191_RA_NFC|1191_RA_A|1191_RA_1,,,,,,,,,,2,,,,,
Buff-武器-精4深海访客-冰伤,,,,,,,,,,,2,,,,,
Buff-武器-精4深海访客-暴击率-1,,,,,,,,,,0,,,,,,
Buff-武器-精4深海访客-暴击率-2,1191_RA_FC|1191_RA_NFC|1191_RA_A|1191_RA_1,,,,,,,,,,2,,,,,
Buff-武器-精5深海访客-冰伤,,,,,,,,,,,2,,,,,
Buff-武器-精5深海访客-暴击率-1,,,,,,,,,,0,,,,,,
Buff-武器-精5深海访客-暴击率-2,1191_RA_FC|1191_RA_NFC|1191_RA_A|1191_RA_1,,,,,,,,,,2,,,,,
Buff-驱动盘-极地重金属-冲刺攻击增伤,,,,,,,,,,3,,,,,,
Buff-驱动盘-极地重金属-普攻增伤,,,,,,,,,,0,,,,,,
Buff-驱动盘-极地重金属-冲刺与普攻增伤-有条件,,,,,,,,,,,,,,,,
Buff-驱动盘-震星迪斯科,,,,,,,,,,7,,,,,,
Buff-驱动盘-啄木鸟电音-普攻,,,,,,,,,,0,,,,,,
Buff-驱动盘-啄木鸟电音-闪避反击,,,,,,,,,,4,,,,,,
Buff-驱动盘-啄木鸟电音-强化特殊技,,,,,,,,,,2,,,,,,
Buff-角色-莱特-核心被动-冲击力提升,,,,,,,,,,,,,,,,
Buff-角色-莱特-核心被动-冰火双抗,1161_NA_5_SH_EX|1161_NA_5_CoH_EX,,,,,,,,,,,,,,,
Buff-角色-莱特-核心被动-失衡时间延长,1161_NA_5_EndH_EX|1161_NA_5_EnEndH_EX,,,,,,,,,,,,,,,
Buff-角色-莱特-额外能力-冰火增伤,1161_SNA_5|1161_NA_5_SH|1161_NA_5_CoH|1161_NA_5_EndH|1161_NA_5_EnEndH_EX|1161_NA_5_SH_EX|1161_NA_5_CoH_EX|1161_NA_5_EndH_EX,,,,,,,,,,,,,,,
