[Skill INFO]:1191_NA_1:{'CN_skill_tag': '第1段普攻', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '普攻', 'skill_tag': '1191_NA_1', 'CN_skill_tag': '第1段普攻', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 0.488, 'damage_ratio_growth': 0.045, 'D_LEVEL12': 0.983, 'D_LEVEL14': 1.073, 'D_LEVEL16': 1.163, 'stun_ratio': 0.244, 'stun_ratio_growth': 0.012, 'S_LEVEL12': 0.376, 'S_LEVEL14': 0.4, 'S_LEVEL16': 0.424, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 0.8, 'fever_recovery': 5.55, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 0.0, 'skill_type': 0, 'trigger_buff_level': 0, 'element_type': 0, 'element_damage_percent': 0.0, 'diff_multiplier': 0, 'ticks': 30, 'hit_times': 2}, 'anomaly_accumlation': 0.0, 'damage_ratio': 0.983, 'distance_attenuation': 0, 'element_damage_percent': 0.0, 'element_type': 0, 'fever_recovery': 5.55, 'hit_times': 2, 'skill_tag': '1191_NA_1', 'skill_type': 0, 'sp_consume': 0.0, 'sp_recovery': 0.8, 'sp_threshold': 0.0, 'stun_ratio': 0.376, 'ticks': 30, 'trigger_buff_level': 0}
[Skill INFO]:1191_NA_2:{'CN_skill_tag': '第2段普攻', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '普攻', 'skill_tag': '1191_NA_2', 'CN_skill_tag': '第2段普攻', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 1.111, 'damage_ratio_growth': 0.101, 'D_LEVEL12': 2.222, 'D_LEVEL14': 2.424, 'D_LEVEL16': 2.626, 'stun_ratio': 0.868, 'stun_ratio_growth': 0.04, 'S_LEVEL12': 1.308, 'S_LEVEL14': 1.388, 'S_LEVEL16': 1.468, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 2.84, 'fever_recovery': 19.73, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 0.0, 'skill_type': 0, 'trigger_buff_level': 0, 'element_type': 0, 'element_damage_percent': 0.0, 'diff_multiplier': 0, 'ticks': 46, 'hit_times': 2}, 'anomaly_accumlation': 0.0, 'damage_ratio': 2.222, 'distance_attenuation': 0, 'element_damage_percent': 0.0, 'element_type': 0, 'fever_recovery': 19.73, 'hit_times': 2, 'skill_tag': '1191_NA_2', 'skill_type': 0, 'sp_consume': 0.0, 'sp_recovery': 2.84, 'sp_threshold': 0.0, 'stun_ratio': 1.308, 'ticks': 46, 'trigger_buff_level': 0}
[Skill INFO]:1191_NA_3_FC:{'CN_skill_tag': '第3段普攻（满）', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '普攻', 'skill_tag': '1191_NA_3_FC', 'CN_skill_tag': '第3段普攻（满）', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 2.506, 'damage_ratio_growth': 0.228, 'D_LEVEL12': 5.014, 'D_LEVEL14': 5.47, 'D_LEVEL16': 5.926, 'stun_ratio': 2.045, 'stun_ratio_growth': 0.093, 'S_LEVEL12': 3.068, 'S_LEVEL14': 3.254, 'S_LEVEL16': 3.44, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 6.69, 'fever_recovery': 46.48, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 0.0, 'skill_type': 0, 'trigger_buff_level': 0, 'element_type': 0, 'element_damage_percent': 0.0, 'diff_multiplier': 0, 'ticks': 104, 'hit_times': 10}, 'anomaly_accumlation': 0.0, 'damage_ratio': 5.013999999999999, 'distance_attenuation': 0, 'element_damage_percent': 0.0, 'element_type': 0, 'fever_recovery': 46.48, 'hit_times': 10, 'skill_tag': '1191_NA_3_FC', 'skill_type': 0, 'sp_consume': 0.0, 'sp_recovery': 6.69, 'sp_threshold': 0.0, 'stun_ratio': 3.0679999999999996, 'ticks': 104, 'trigger_buff_level': 0}
[Skill INFO]:1191_SNA_1:{'CN_skill_tag': '第1段特殊普攻', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '普攻', 'skill_tag': '1191_SNA_1', 'CN_skill_tag': '第1段特殊普攻', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 0.996, 'damage_ratio_growth': 0.091, 'D_LEVEL12': 1.997, 'D_LEVEL14': 2.179, 'D_LEVEL16': 2.361, 'stun_ratio': 0.488, 'stun_ratio_growth': 0.023, 'S_LEVEL12': 0.741, 'S_LEVEL14': 0.787, 'S_LEVEL16': 0.833, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 1.6, 'fever_recovery': 11.1, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 4435.0, 'skill_type': 0, 'trigger_buff_level': 0, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 30, 'hit_times': 2}, 'anomaly_accumlation': 44.35, 'damage_ratio': 1.9969999999999999, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 11.1, 'hit_times': 2, 'skill_tag': '1191_SNA_1', 'skill_type': 0, 'sp_consume': 0.0, 'sp_recovery': 1.6, 'sp_threshold': 0.0, 'stun_ratio': 0.741, 'ticks': 30, 'trigger_buff_level': 0}
[Skill INFO]:1191_SNA_2:{'CN_skill_tag': '第2段特殊普攻', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '普攻', 'skill_tag': '1191_SNA_2', 'CN_skill_tag': '第2段特殊普攻', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 1.84, 'damage_ratio_growth': 0.168, 'D_LEVEL12': 3.688, 'D_LEVEL14': 4.024, 'D_LEVEL16': 4.36, 'stun_ratio': 0.902, 'stun_ratio_growth': 0.041, 'S_LEVEL12': 1.353, 'S_LEVEL14': 1.435, 'S_LEVEL16': 1.517, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 2.95, 'fever_recovery': 20.5, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 8199.0, 'skill_type': 0, 'trigger_buff_level': 0, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 46, 'hit_times': 2}, 'anomaly_accumlation': 81.99, 'damage_ratio': 3.688, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 20.5, 'hit_times': 2, 'skill_tag': '1191_SNA_2', 'skill_type': 0, 'sp_consume': 0.0, 'sp_recovery': 2.95, 'sp_threshold': 0.0, 'stun_ratio': 1.353, 'ticks': 46, 'trigger_buff_level': 0}
[Skill INFO]:1191_SNA_3_FC:{'CN_skill_tag': '第3段特殊普攻（满）', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '普攻', 'skill_tag': '1191_SNA_3_FC', 'CN_skill_tag': '第3段特殊普攻（满）', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 4.619, 'damage_ratio_growth': 0.42, 'D_LEVEL12': 9.239, 'D_LEVEL14': 10.079, 'D_LEVEL16': 10.919, 'stun_ratio': 2.269, 'stun_ratio_growth': 0.104, 'S_LEVEL12': 3.413, 'S_LEVEL14': 3.621, 'S_LEVEL16': 3.829, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 5.94, 'fever_recovery': 51.58, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 20622.0, 'skill_type': 0, 'trigger_buff_level': 0, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 113, 'hit_times': 14}, 'anomaly_accumlation': 206.22, 'damage_ratio': 9.239, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 51.58, 'hit_times': 14, 'skill_tag': '1191_SNA_3_FC', 'skill_type': 0, 'sp_consume': 0.0, 'sp_recovery': 5.94, 'sp_threshold': 0.0, 'stun_ratio': 3.4130000000000003, 'ticks': 113, 'trigger_buff_level': 0}
[Skill INFO]:1191_RA_1:{'CN_skill_tag': '冲刺攻击第1段', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '普攻', 'skill_tag': '1191_RA_1', 'CN_skill_tag': '冲刺攻击第1段', 'skill_text': '0', 'INSTRUCTION': '这一段无法单独打出，所以未不进行单独的测帧。', 'damage_ratio': 0.623, 'damage_ratio_growth': 0.057, 'D_LEVEL12': 1.25, 'D_LEVEL14': 1.364, 'D_LEVEL16': 1.478, 'stun_ratio': 0.623, 'stun_ratio_growth': 0.029, 'S_LEVEL12': 0.942, 'S_LEVEL14': 1.0, 'S_LEVEL16': 1.058, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 2.04, 'fever_recovery': 14.15, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 5659.0, 'skill_type': 0, 'trigger_buff_level': 0, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 0, 'hit_times': 1}, 'anomaly_accumlation': 56.59, 'damage_ratio': 1.25, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 14.15, 'hit_times': 1, 'skill_tag': '1191_RA_1', 'skill_type': 0, 'sp_consume': 0.0, 'sp_recovery': 2.04, 'sp_threshold': 0.0, 'stun_ratio': 0.942, 'ticks': 0, 'trigger_buff_level': 0}
[Skill INFO]:1191_RA_NFC:{'CN_skill_tag': '冲刺攻击（不满）', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '普攻', 'skill_tag': '1191_RA_NFC', 'CN_skill_tag': '冲刺攻击（不满）', 'skill_text': '0', 'INSTRUCTION': '实际的倍率数据为：回旋斩击+快速剪击，在公测中，快速剪击数据被砍', 'damage_ratio': 1.605, 'damage_ratio_growth': 0.147, 'D_LEVEL12': 3.222, 'D_LEVEL14': 3.516, 'D_LEVEL16': 3.81, 'stun_ratio': 1.605, 'stun_ratio_growth': 0.074, 'S_LEVEL12': 2.419, 'S_LEVEL14': 2.567, 'S_LEVEL16': 2.715, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 5.44, 'fever_recovery': 37.75, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 15094.0, 'skill_type': 0, 'trigger_buff_level': 0, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 64, 'hit_times': 4}, 'anomaly_accumlation': 150.94, 'damage_ratio': 3.222, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 37.75, 'hit_times': 4, 'skill_tag': '1191_RA_NFC', 'skill_type': 0, 'sp_consume': 0.0, 'sp_recovery': 5.44, 'sp_threshold': 0.0, 'stun_ratio': 2.419, 'ticks': 64, 'trigger_buff_level': 0}
[Skill INFO]:1191_RA_FC:{'CN_skill_tag': '冲刺攻击（满）', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '普攻', 'skill_tag': '1191_RA_FC', 'CN_skill_tag': '冲刺攻击（满）', 'skill_text': '0', 'INSTRUCTION': '实际的倍率数据为：回旋斩击+蓄力剪击，', 'damage_ratio': 1.84, 'damage_ratio_growth': 0.168, 'D_LEVEL12': 3.688, 'D_LEVEL14': 4.024, 'D_LEVEL16': 4.36, 'stun_ratio': 1.84, 'stun_ratio_growth': 0.085, 'S_LEVEL12': 2.775, 'S_LEVEL14': 2.945, 'S_LEVEL16': 3.115, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 6.02, 'fever_recovery': 41.8, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 16715.0, 'skill_type': 0, 'trigger_buff_level': 0, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 121, 'hit_times': 6}, 'anomaly_accumlation': 167.15, 'damage_ratio': 3.688, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 41.8, 'hit_times': 6, 'skill_tag': '1191_RA_FC', 'skill_type': 0, 'sp_consume': 0.0, 'sp_recovery': 6.02, 'sp_threshold': 0.0, 'stun_ratio': 2.7750000000000004, 'ticks': 121, 'trigger_buff_level': 0}
[Skill INFO]:1191_E:{'CN_skill_tag': '特殊技', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '特殊技', 'skill_tag': '1191_E', 'CN_skill_tag': '特殊技', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 0.518, 'damage_ratio_growth': 0.048, 'D_LEVEL12': 1.046, 'D_LEVEL14': 1.142, 'D_LEVEL16': 1.238, 'stun_ratio': 0.518, 'stun_ratio_growth': 0.024, 'S_LEVEL12': 0.782, 'S_LEVEL14': 0.83, 'S_LEVEL16': 0.878, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 0.0, 'fever_recovery': 11.78, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 4705.0, 'skill_type': 1, 'trigger_buff_level': 1, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 66, 'hit_times': 3}, 'anomaly_accumlation': 47.05, 'damage_ratio': 1.046, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 11.78, 'hit_times': 3, 'skill_tag': '1191_E', 'skill_type': 1, 'sp_consume': 0.0, 'sp_recovery': 0.0, 'sp_threshold': 0.0, 'stun_ratio': 0.782, 'ticks': 66, 'trigger_buff_level': 1}
[Skill INFO]:1191_E_EX:{'CN_skill_tag': '强化特殊技', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '强化特殊技', 'skill_tag': '1191_E_EX', 'CN_skill_tag': '强化特殊技', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 3.772, 'damage_ratio_growth': 0.343, 'D_LEVEL12': 7.545, 'D_LEVEL14': 8.231, 'D_LEVEL16': 8.917, 'stun_ratio': 4.051, 'stun_ratio_growth': 0.185, 'S_LEVEL12': 6.086, 'S_LEVEL14': 6.456, 'S_LEVEL16': 6.826, 'sp_threshold': 40, 'sp_consume': 40, 'sp_recovery': 0.0, 'fever_recovery': 127.6, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 40373.0, 'skill_type': 1, 'trigger_buff_level': 2, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 88, 'hit_times': 8}, 'anomaly_accumlation': 403.73, 'damage_ratio': 7.545, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 127.6, 'hit_times': 8, 'skill_tag': '1191_E_EX', 'skill_type': 1, 'sp_consume': 40.0, 'sp_recovery': 0.0, 'sp_threshold': 40.0, 'stun_ratio': 6.086, 'ticks': 88, 'trigger_buff_level': 2}
