ID,生命值,攻击力,失衡值上限,防御力,异常积蓄值上限,SubID
20101,-0.2,-0.5,-0.2,0.0,-0.2,2010101
20101,-0.2,-0.5,-0.2,0.0,-0.2,2010102
20101,-0.2,-0.5,-0.2,0.0,-0.2,2010103
20102,-0.35,-0.65,-0.35,0.0,-0.35,2010201
20102,-0.35,-0.65,-0.35,0.0,-0.35,2010202
20102,-0.35,-0.65,-0.35,0.0,-0.35,2010203
20103,-0.5,-0.8,-0.5,0.0,-0.5,2010301
20103,-0.5,-0.8,-0.5,0.0,-0.5,2010302
20103,-0.5,-0.8,-0.5,0.0,-0.5,2010303
20110,0.3,0.15,0.15,0.0,0.3,2011003
20111,0.0,-0.3,0.0,0.0,0.0,2011101
20111,0.0,-0.25,0.0,0.0,0.0,2011102
20111,0.0,-0.2,0.0,0.0,0.0,2011103
20112,0.6,0.2,0.0,0.0,0.0,2011202
20113,0.25,0.0,0.1,0.0,0.0,2011303
20114,0.0,-0.3,0.0,0.0,0.25,2011401
20114,0.0,-0.3,0.0,0.0,0.25,2011402
20114,0.0,-0.3,0.0,0.0,0.25,2011403
20115,0.25,0.0,0.1,0.0,0.0,2011502
20116,-0.2,-0.15,-0.4,0.0,0.0,2011601
20116,-0.2,-0.15,-0.35,0.0,0.0,2011602
20116,-0.45,-0.15,-0.5,0.0,0.0,2011603
20117,-0.7,0.0,-0.5,0.0,0.0,2011701
20118,-0.1,-0.1,0.0,0.0,0.0,2011801
20118,-0.1,-0.1,0.0,0.0,0.0,2011802
20118,-0.1,-0.1,0.0,0.0,0.0,2011803
20119,-0.1,-0.1,0.0,0.0,0.0,2011903
20120,-0.35,0.0,0.0,0.0,0.0,2012003
20121,0.0,0.0,-0.35,0.0,0.0,2012103
20501,0.8,0.0,-0.35,0.0,0.0,2050101
20502,0.0,0.0,0.0,0.0,0.0,2050201
20502,0.0,0.0,0.0,0.0,0.0,2050202
20502,0.6,0.33,0.06,0.0,0.0,2050203
20521,0.0,-0.2,0.0,0.0,0.0,2050211
20522,0.07,-0.1,0.05,0.0,0.1,2050212
20523,0.07,-0.1,0.05,0.0,0.1,2050213
20524,1.28,0.08,0.12,0.0,0.24,2050214
20503,1.0,0.4,0.11,0.0,0.0,2050301
20503,1.0,0.4,0.11,0.0,0.0,2050302
20503,1.35,0.43,0.15,0.0,0.0,2050303
20531,0.0,-0.1,0.0,0.0,0.0,2050311
20532,0.21,0.18,0.05,0.0,0.1,2050312
20533,0.21,0.18,0.05,0.0,0.1,2050313
20534,1.39,0.37,0.12,0.0,0.24,2050314
20504,1.35,0.43,0.15,0.0,0.0,2050401
20504,1.35,0.43,0.15,0.0,0.0,2050402
20504,3.7,0.71,0.27,0.0,0.0,2050403
20541,0.0,0.0,0.0,0.0,0.0,2050411
20542,0.39,0.2,0.04,0.0,0.08,2050412
20543,0.39,0.2,0.04,0.0,0.08,2050413
20544,1.44,0.41,0.12,0.0,0.24,2050414
20545,1.44,0.41,0.12,0.0,0.24,2050415
20546,3.0,0.6,0.19,0.0,0.38,2050416
20551,0.0,0.0,0.0,0.0,0.0,2050511
20552,0.42,0.21,0.05,0.0,0.1,2050512
20553,0.42,0.21,0.05,0.0,0.1,2050513
20554,1.45,0.45,0.11,0.0,0.22,2050514
20555,1.45,0.45,0.11,0.0,0.22,2050515
20556,3.15,0.75,0.18,0.0,0.36,2050516
20561,0.0,0.0,0.0,0.0,0.0,2050611
20562,0.54,0.4,0.04,0.0,0.08,2050612
20563,0.54,0.4,0.04,0.0,0.08,2050613
20564,1.54,0.59,0.1,0.0,0.2,2050614
20565,1.54,0.59,0.1,0.0,0.2,2050615
20566,3.51,0.79,0.17,0.0,0.34,2050616
20571,0.0,0.0,0.0,0.0,0.0,2050701
20572,0.2,0.1,0.05,0.0,0.05,2050702
20573,0.0,0.0,0.0,0.0,0.0,2050703
20574,0.1,0.0,0.04,0.0,0.04,2050704
20575,0.39,0.1,0.04,0.0,0.04,2050705
20576,0.72,0.21,0.12,0.0,0.12,2050706
20581,0.0,0.0,0.0,0.0,0.0,2050801
