名称,"ID",稀有度,职业,0级基础攻击力,60级基础攻击力,高级属性,0级高级属性值,60级高级属性值
福虓炉炉,14139,S,击破,48,713.76 ,攻击力,12.00%,30.00%
牺牲洁纯,14138,S,强攻,48,713.76 ,暴击伤害,19.20%,48.00%
青溟笼舍,14137,S,命破,50,743.50 ,生命值,12.00%,30.00%
索魂影眸,14136,S,击破,48,713.76 ,暴击率,9.60%,24.00%
飞鸟星梦,14133,S,异常,48,713.76 ,异常精通,36.00 ,90.00 
心弦夜响,14132,S,强攻,48,713.76 ,暴击率,9.60%,24.00%
玲珑妆匣,14131,S,支援,48,713.76 ,攻击力,12.00%,30.00%
千面日陨,14129,S,强攻,48,713.76 ,暴击率,9.60%,24.00%
淬锋钳刺,14126,S,异常,48,713.76 ,异常精通,36.00 ,90.00 
玉壶青冰,14125,S,击破,48,713.76 ,冲击力,7.20%,18.00%
防暴者Ⅵ型,14124,S,强攻,48,713.76 ,暴击伤害,19.20%,48.00%
时流贤者,14122,S,异常,48,713.76 ,攻击力,12.00%,30.00%
啜泣摇篮,14121,S,支援,46,684.02 ,穿透率,9.60%,24.00%
残心青囊,14120,S,强攻,48,713.76 ,暴击伤害,19.20%,48.00%
深海访客,14119,S,强攻,48,713.76 ,暴击率,9.60%,24.00%
嵌合编译器,14118,S,异常,46,684.02 ,穿透率,9.60%,24.00%
灼心摇壶,14117,S,异常,48,713.76 ,攻击力,12.00%,30.00%
焰心桂冠,14116,S,击破,48,713.76 ,冲击力,7.20%,18.00%
拘缚者,14114,S,击破,46,684.02 ,冲击力,7.20%,18.00%
燃狱齿轮,14110,S,击破,46,684.02 ,冲击力,7.20%,18.00%
霰落星殿,14109,S,异常,50,743.50 ,暴击率,9.60%,24.00%
奔袭獠牙,14107,S,防护,48,713.76 ,冲击力,7.20%,18.00%
硫磺石,14104,S,强攻,46,684.02 ,攻击力,12.00%,30.00%
钢铁肉垫,14102,S,强攻,46,684.02 ,暴击率,9.60%,24.00%
左轮转子,14003,A,击破,40,594.80 ,冲击力,6.00%,15.00%
逍遥游球,14002,A,支援,40,594.80 ,能量自动回复,20.00%,50.00%
加农转子,14001,A,强攻,40,594.80 ,暴击率,8.00%,20.00%
潘引壶测试音擎,13142,A,防护,42,624.54 ,攻击力,10.00%,25.00%
裁纸刀,13135,A,击破,42,624.54 ,冲击力,6.00%,15.00%
轰鸣座驾,13128,A,异常,42,624.54 ,攻击力,10.00%,25.00%
维序者-特化型,13127,A,防护,42,624.54 ,攻击力,10.00%,25.00%
好斗的阿炮,13115,A,支援,42,624.54 ,能量自动回复,20.00%,50.00%
含羞恶面,13113,A,支援,42,624.54 ,攻击力,10.00%,25.00%
比格气缸,13112,A,防护,42,624.54 ,防御力,16.00%,40.00%
旋钻机-赤轴,13111,A,强攻,42,624.54 ,能量自动回复,20.00%,50.00%
仿制星徽引擎,13108,A,强攻,42,624.54 ,攻击力,10.00%,25.00%
家政员,13106,A,强攻,42,624.54 ,攻击力,10.00%,25.00%
聚宝箱,13103,A,支援,42,624.54 ,能量自动回复,20.00%,50.00%
德玛拉电池Ⅱ型,13101,A,击破,42,624.54 ,冲击力,6.00%,15.00%
光影刻刀,13016,A,防护,40,594.80 ,暴击率,8.00%,20.00%
强音热望,13015,A,强攻,40,594.80 ,暴击率,8.00%,20.00%
电波漫步,13014,A,命破,40,594.80 ,生命值,10.00%,25.00%
鎏金花信,13013,A,强攻,40,594.80 ,攻击力,10.00%,25.00%
幻变魔方,13012,A,命破,40,594.80 ,攻击力,10.00%,25.00%
春日融融,13011,A,防护,40,594.80 ,攻击力,10.00%,25.00%
兔能环,13010,A,防护,40,594.80 ,防御力,16.00%,40.00%
触电唇彩,13009,A,异常,40,594.80 ,异常精通,30.00 ,75.00 
双生泣星,13008,A,异常,40,594.80 ,攻击力,10.00%,25.00%
正版变身器,13007,A,防护,40,594.80 ,生命值,10.00%,25.00%
贵重骨核,13006,A,击破,40,594.80 ,冲击力,6.00%,15.00%
人为刀俎,13005,A,击破,40,594.80 ,能量自动回复,20.00%,50.00%
星徽引擎,13004,A,强攻,40,594.80 ,攻击力,10.00%,25.00%
雨林饕客,13003,A,异常,40,594.80 ,异常精通,30.00 ,75.00 
